battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
842,0,2.2,0,1,0,7,0.6,188,2,2,20,756,2549,9,7,19,0,0,1,1
1021,1,0.5,1,0,1,53,0.7,136,3,6,905,1988,2631,17,3,7,1,1,0,2
563,1,0.5,1,2,0,41,0.9,145,5,6,1263,1716,2603,11,2,9,1,1,1,2
615,1,2.5,0,0,1,10,0.8,131,6,9,1216,1786,2769,16,8,11,1,1,1,3
1821,0,1.2,1,13,1,44,0.6,141,2,14,1208,1212,1411,8,1,15,0,0,0,1
1859,1,2.8,1,3,1,22,0.5,164,4,7,1004,1654,1067,17,4,10,1,1,1,2
1289,0,1.8,0,5,0,16,0.7,156,8,13,1366,720,3000,15,6,14,0,1,1,3
1500,1,2.0,1,8,1,32,0.6,170,6,16,1440,2560,3500,18,9,20,1,1,1,3
900,0,1.0,0,2,0,8,0.8,180,4,5,800,600,1200,10,5,8,0,0,0,0
1700,1,2.4,1,12,1,64,0.5,155,8,20,1920,2400,4096,19,10,18,1,1,1,3
